"","Country","Region","Election / Renewal","Year","Month","Chamber Type","Chamber Total Seats","Total women","% Of Women in Chamber","NOTES"
"1","Afghanistan","ASIA","Yes",1965,"July","Lower","210","4","1.9047619047619049E-2","First legislature of Afghanistan after the abolition of the monarchy in 1964"
"2","Afghanistan","ASIA","Yes",1965,"July","Upper","84","0","0","First legislature of Afghanistan after the abolition of the monarchy in 1964"
"3","Afghanistan","ASIA","Yes",1969,NA,"Lower","216","0","0","Parliament was dissolved following a military coup d'Etat in July 1973."
"4","Afghanistan","ASIA","Yes",1969,NA,"Upper","84","0","0","Parliament was dissolved following a military coup d'Etat in July 1973."
"5","Afghanistan","ASIA","Yes",1988,NA,"Lower","235","7","2.9787234042553193E-2","Collapse of constitutional institutions, including Parliament, in April 1992.  A Council of Decision and Settlement or Constituent Assembly, comprising 1335 members met in December 1992 and January 1993 and elected from among its ranks a 250-member interim Assembly. Pending general elections: no available information concerning the number of women members of the Council or the interim Assembly."
"6","Afghanistan","ASIA","Yes",1988,NA,"Upper","173","0","0","Collapse of constitutional institutions, including Parliament, in April 1992.  A Council of Decision and Settlement or Constituent Assembly, comprising 1335 members met in December 1992 and January 1993 and elected from among its ranks a 250-member interim Assembly. Pending general elections: no available information concerning the number of women members of the Council or the interim Assembly."
"7","Afghanistan","ASIA","Yes",2005,NA,"Lower","249","68","0.27309236947791166","65 seats were reserved for women in general and 10 seats for Kuchis including at least 3 women."
"8","Afghanistan","ASIA","Yes",2005,NA,"Upper","102","23","0.22549019607843138",NA
"9","Afghanistan","ASIA","Yes",2010,NA,"Lower","249","69","0.27710843373493976","Elections were held for all the seats in the House of the People on the normal expiry of the members' term of office."
"10","Afghanistan","ASIA","Yes",2010,NA,"Upper","102","28","0.27450980392156865","Renewal of the 68 members indirectly elected by the Provincial Councils in November 2005."
"11","Afghanistan","ASIA","Yes",2011,NA,"Upper","102","28","0.27450980392156865","Renewal of the 34 members appointed by the President."
"12","Afghanistan","ASIA","Yes",2015,"january","Upper","102","28","0.27450980392156865",NA
"13","Afghanistan","ASIA","Yes",2018,"October","Lower","244","68","0.27868852459016391",NA
"14","Albania","EUR","Yes",1945,NA,"Single","82","3","3.6585365853658534E-2",NA
"15","Albania","EUR","Yes",1950,NA,"Single","121","17","0.14049586776859505",NA
"16","Albania","EUR","Yes",1954,NA,"Single","134","16","0.11940298507462686",NA
